Interval,Ratio to Fundamental Just Scale,Ratio to Fundamental Equal Temperament
Unison,1.0000,1.0000
Minor Second,25/24 = 1.0417,1.05946
Major Second,9/8 = 1.1250,1.12246
Minor Third,6/5 = 1.2000,1.18921
Major Third,5/4 = 1.2500,1.25992
Fourth,4/3 = 1.3333,1.33483
Diminished Fifth,45/32 = 1.4063,1.41421
Fifth,3/2 = 1.5000,1.49831
Minor Sixth,8/5 = 1.6000,1.58740
Major Sixth,5/3 = 1.6667,1.68179
Minor Seventh,9/5 = 1.8000,1.78180
Major Seventh,15/8 = 1.8750,1.88775
Octave,2.0000,2.0000